filename,l_min,l_max,b_min,b_max
GaiaSource_000000-003111_p.csv.gz,151.537,187.139,-56.219,-30.858
GaiaSource_003112-005263_p.csv.gz,154.664,184.108,-45.159,-21.531
GaiaSource_005264-006601_p.csv.gz,159.198,181.721,-36.288,-16.164
GaiaSource_006602-007952_p.csv.gz,155.147,175.823,-35.977,-18.073
GaiaSource_007953-010234_p.csv.gz,138.39,180.04,-50.368,-17.806
GaiaSource_010235-012597_p.csv.gz,132.825,167.693,-47.34,-23.151
GaiaSource_012598-014045_p.csv.gz,147.401,167.726,-34.546,-17.275
GaiaSource_014046-015369_p.csv.gz,141.47,163.699,-34.448,-16.45
GaiaSource_015370-016240_p.csv.gz,144.333,157.585,-27.004,-14.698
GaiaSource_016241-017018_p.csv.gz,145.261,181.002,-35.394,-1.438
GaiaSource_017019-017658_p.csv.gz,165.831,179.417,-20.814,-6.974
GaiaSource_017659-018028_p.csv.gz,167.992,177.67,-13.455,-3.372
GaiaSource_018029-018472_p.csv.gz,161.019,178.35,-20.693,-3.526
GaiaSource_018473-019161_p.csv.gz,160.15,172.534,-22.569,-10.723
GaiaSource_019162-019657_p.csv.gz,159.142,170.911,-18.591,-7.08
GaiaSource_019658-020091_p.csv.gz,160.485,170.277,-13.264,-3.429
GaiaSource_020092-020493_p.csv.gz,157.518,175.785,-16.1,2.315
GaiaSource_020494-020747_p.csv.gz,169.46,176.585,-6.526,0.664
GaiaSource_020748-020984_p.csv.gz,168.691,175.193,-2.937,3.497
GaiaSource_020985-021233_p.csv.gz,165.716,174.666,-7.114,2.09
GaiaSource_021234-021441_p.csv.gz,165.522,172.103,-3.956,2.723
GaiaSource_021442-021665_p.csv.gz,165.223,174.552,-2.594,7.161
GaiaSource_021666-021919_p.csv.gz,165.708,173.57,1.563,9.751
GaiaSource_021920-022158_p.csv.gz,163.536,173.058,0.526,10.5
GaiaSource_022159-022410_p.csv.gz,161.964,170.997,1.44,11.237
GaiaSource_022411-022698_p.csv.gz,157.175,175.703,-7.054,11.97
GaiaSource_022699-022881_p.csv.gz,161.413,168.368,-4.983,2.353
GaiaSource_022882-023058_p.csv.gz,159.216,168.284,-5.494,3.63
GaiaSource_023059-023264_p.csv.gz,158.772,165.097,-6.189,0.078
GaiaSource_023265-023450_p.csv.gz,158.068,165.497,-3.377,4.232
GaiaSource_023451-023649_p.csv.gz,157.913,168.011,-2.069,8.485
GaiaSource_023650-023910_p.csv.gz,159.741,168.871,2.387,12.33
GaiaSource_023911-024205_p.csv.gz,157.606,167.451,2.963,13.392
GaiaSource_024206-024526_p.csv.gz,156.274,165.32,4.238,14.08
GaiaSource_024527-025166_p.csv.gz,144.566,180.657,-21.657,14.772
GaiaSource_025167-025691_p.csv.gz,150.857,164.471,-18.966,-6.092
GaiaSource_025692-026057_p.csv.gz,154.889,163.908,-12.424,-3.493
GaiaSource_026058-026390_p.csv.gz,152.305,162.403,-12.687,-2.773
GaiaSource_026391-026648_p.csv.gz,146.88,164.155,-18.094,-0.957
GaiaSource_026649-027106_p.csv.gz,147.757,157.736,-18.425,-8.391
GaiaSource_027107-027517_p.csv.gz,144.898,155.224,-17.643,-7.377
GaiaSource_027518-027832_p.csv.gz,145.784,156.449,-13.779,-3.697
GaiaSource_027833-028076_p.csv.gz,148.695,156.579,-8.322,-0.642
GaiaSource_028077-028338_p.csv.gz,145.99,156.096,-9.76,0.053
GaiaSource_028339-028592_p.csv.gz,145.585,153.426,-6.805,0.764
GaiaSource_028593-028826_p.csv.gz,146.654,162.738,-10.143,5.985
GaiaSource_028827-029041_p.csv.gz,154.659,163.193,-3.706,5.155
GaiaSource_029042-029261_p.csv.gz,152.629,162.459,-3.566,6.42
GaiaSource_029262-029488_p.csv.gz,152.246,159.682,-2.874,4.639
GaiaSource_029489-029738_p.csv.gz,152.094,161.134,0.627,9.719
GaiaSource_029739-030063_p.csv.gz,154.04,163.192,5.12,15.108
GaiaSource_030064-030435_p.csv.gz,151.801,161.766,5.485,16.1
GaiaSource_030436-030827_p.csv.gz,145.48,164.606,-2.183,17.385
GaiaSource_030828-031045_p.csv.gz,149.248,157.303,-1.507,6.642
GaiaSource_031046-031276_p.csv.gz,146.735,156.692,-0.827,9.2
GaiaSource_031277-031482_p.csv.gz,146.496,152.504,-0.156,5.841
GaiaSource_031483-031740_p.csv.gz,146.104,153.738,2.735,10.263
